"automatic_water_benchmarking_eligible","bbl_on_the_covered_buildings_list","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","council_district","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identification_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"No","Yes",,"1069590","MANHATTAN","137",,"5","4","225.1","In Compliance ","1","625844","28","4548","40.763256","-73.980611","48.36","Midtown-Midtown South                                                      ","1010070005","Hotel","1466154","1069590","574241","Manual","114.3","232.6","WEST   54 STREET    ","153","4773.1","112.7","231.1","10019"
"No","Yes",,"1036185","MANHATTAN","92",,"5","4","65.5","In Compliance ","1","1212596","78","9522.7","40.754508","-73.975951","Not Available","Turtle Bay-East Midtown                                                    ","1013000001","Office","1467374","1036185","1294808","None","99.8","212.6","PARK AVENUE         ","230","9588.2","97.3","209.9","10017"
"No","Yes",,"1036061","MANHATTAN","11202",,"5","4","0","In Compliance ","1","332600","Not Available","2034.5","40.762445","-73.972237","18.85","Midtown-Midtown South                                                      ","1012930026","Office","1467490","1036061","333984","Manual","80.1","187.1","MADISON AVENUE      ","597","2034.5","76.3","182.9","10022"
"No","Yes",,"1083719","MANHATTAN","137",,"5","4","0","In Compliance ","2","1900241","32","21132.6","40.763379","-73.979001","Not Available","Midtown-Midtown South                                                      ","1010070029","Office","1470683","1083719","1866766","None","149.5","342.9","WEST   55 STREET    ","120","21132.6","148.2","341.6","10019"
"No","Yes",,"1082153","MANHATTAN","88",,"6","4","0","In Compliance ","1","898734","78","7232.8","40.749076","-73.975682","Not Available","Turtle Bay-East Midtown                                                    ","1009200012","Office","1472193","1082153","1056389","None","91.5","200.3","   3 AVENUE         ","605","7232.8","89.2","196.8","10016"
"No","Yes",,"1024812","MANHATTAN","131",,"5","3","0","In Compliance ","1","2438059","71","21445.4","40.761522","-73.983994","18.99","Midtown-Midtown South                                                      ","1010220043","Office","1472861","1024812","2837932","Manual","101","220.9","BROADWAY            ","1631","21445.4","99.4","218.6","10019"
"No","Yes",,"1081162","MANHATTAN","100",,"6","4","0","In Compliance ","1","516720","82","3031.7","40.75859","-73.968759","9.88","Turtle Bay-East Midtown                                                    ","1013090032","Office","1479144","1081162","591315","Manual","64.4","177","   3 AVENUE         ","900","3031.7","61.1","170.2","10022"
"No","Yes",,"1023159","MANHATTAN","131",,"5","4","1847.6","In Compliance ","1","1172021","23","9275.6","40.762433","-73.982272","64.86","Midtown-Midtown South                                                      ","1010050001","Hotel","1483343","1023159","1165000","Manual","136.4","263.8","   7 AVENUE         ","801","11123.2","134.5","262","10019"
"No","Yes",,"1036462","MANHATTAN","100",,"6","4","0","In Compliance ","1","574675","82","3696.4","40.756924","-73.969976","13.31","Turtle Bay-East Midtown                                                    ","1013060033","Office","1505280","1036462","590518","Manual","82.2","193.1","   3 AVENUE         ","850","3696.4","80.6","191.2","10022"
"No","Yes",,"1036079","MANHATTAN","11202",,"5","4","0","In Compliance ","1","459340","74","3520.2","40.763326","-73.973695","Not Available","Midtown-Midtown South                                                      ","1012930069","Office","1511892","1036079","530303","None","84.6","221.6","   5 AVENUE         ","745","3520.2","82.2","218.6","10022"
"No","Yes",,"1076173","MANHATTAN","119",,"5","4","19","In Compliance ","1","912955","60","6976.9","40.757256","-73.982364","Not Available","Midtown-Midtown South                                                      ","1009980029","Office","1513221","1076173","997901","None","87.4","246.4","AVENUE OF THE AMER  ","1177","6995.8","Not Available","Not Available","10036"
"Yes","Yes",,,"QUEENS",,,,,"198.1","In Compliance ","1","139896","80","720.4",,,"13.46",,"4041430001","Retail Store","1547633","4462119","139899","Manual","88.7","222.9","  20 AVENUE         ","   135-05","918.4","85","218.7","11356"
"No","Yes",,"3348833","BROOKLYN            ","1070",,"5","42","450","In Compliance ","1","158402","77","654.4","40.651356","-73.86881","12","East New York                                                              ","3044520520","Retail Store","1547924","3348833","148939","Manual","109.9","226.1","GATEWAY DRIVE       ","519","1104.4","107.4","223.4","11239"
"Yes","Yes",,"2109471","BRONX               ","269",,"7","14","197.3","In Compliance ","1","156474","Not Available","989.5","40.873366","-73.906592","2.14","Kingsbridge Heights                                                        ","2032450060","Retail Store","1548095","2109471","157011","Manual","99.6","263.4","WEST KINGSBRIDGE RD ","300","1186.7","97.6","262.2","10463"
"Yes","Yes",,"5149742","STATEN ISLAND       ","226",,"3","51","195.5","In Compliance ","1","144760","79","707.9","40.527705","-74.230733","9.84","Charleston-Richmond Valley-Tottenville                                     ","5074810001","Retail Store","1548267","5149742","143876","Manual","84.9","213.2","VETERANS ROAD WEST  ","2900","903.4","83.6","211.9","10309"
"No","Yes",,"1017019","MANHATTAN","74",,"5","2","0","In Compliance ","1","850752","77","5434.3","40.746077","-73.982092","Not Available","Midtown-Midtown South                                                      ","1008620029","Office","1557168","1017019","916666","None","76.5","191.3","PARK AVENUE         ","2","5434.3","73.6","188.1","10016"
"No","Yes",,"1000817","MANHATTAN","9",,"1","1","0","In Compliance ","1","974958","72","7607.5","40.705351","-74.011502","Not Available","Battery Park City-Lower Manhattan                                          ","1000240001","Office","1557451","1000817","998035","None","101.1","227.9","BROAD STREET        ","60","7607.5","97.9","222.7","10004"
"No","Yes",,"1087267","MANHATTAN","11203",,"5","4","0","In Compliance ","1","228860","89","1091.8","40.762367","-73.96854","Not Available","Turtle Bay-East Midtown                                                    ","1013137502","Office","1560916","1087267","269470","None","51.3","137.1","EAST   59 STREET    ","130","1091.8","49.1","133.7","10022"
"See Primary BBL","Yes","1-00962-0080;1-00962-7501","1085588","MANHATTAN","62","Secondary","6","4","See Primary BBL","In Compliance ","1","2076426","See Primary BBL","See Primary BBL","40.740935","-73.974516","See Primary BBL","Murray Hill-Kips Bay                                                       ","1009627501","See Primary BBL","1567409","0","See Primary BBL","See Primary BBL",,"See Primary BBL","EAST 30 STREET      ","433","See Primary BBL","See Primary BBL","See Primary BBL","10016"
"Yes","Yes",,,"QUEENS",,,,,"0","In Compliance ","1","1250000","Not Available","5397.5",,,"Not Available",,"4017870020","Other - Entertainment/Public Assembly","1755636","4862101","1242968","None","52.4","164.4","ROOSEVELT AVENUE    ","   123-01","5397.5","52.6","165.2","11368"
"No","Yes","1-00962-0080;1-00962-7501","1087297","MANHATTAN","62","Primary","6","4","74.4","In Compliance ","1","245800","21","37880.5","40.741492","-73.975172","Not Available","Murray Hill-Kips Bay                                                       ","1009620080","Hospital (General Medical & Surgical)","1567409","1085694;1081693;1081694;1085695;1081692;1085588;1087297;1088433;1805035","2227728","None","228.4","494.9","   1 AVENUE         ","522","37954.9","225.2","491.8","10016"
"No","Yes",,"1035747","MANHATTAN","102",,"5","4","0","In Compliance ","1","444293","74","3077.7","40.760354","-73.973454","Not Available","Midtown-Midtown South                                                      ","1012900021","Financial Office","1575272","1035747","473329","None","83","215.7","MADISON AVENUE      ","535","3077.7","80.9","212.7","10022"
"No","Yes",,"1040072","MANHATTAN","8603",,"6","4","0","In Compliance ","1","400369","79","2587.6","40.752925","-73.966834","Not Available","Turtle Bay-East Midtown                                                    ","1013600001","Office","1575697","1040072","376326","None","92.2","199.3","UNITED NATIONS PLAZA","866","2587.6","90.9","197.2","10017"
"No","Yes",,"1035741","MANHATTAN","102",,"5","4","0","In Compliance ","1","85781","22","884","40.761131","-73.975295","32.22","Midtown-Midtown South                                                      ","1012900001","Office","1577267","1035741","89978","Manual","128.6","305.5","   5 AVENUE         ","689","884","123.3","299.1","10022"
"No","Yes",,"1076175","MANHATTAN","131",,"5","4","111.1","In Compliance ","1","753137","81","4837.8","40.762625","-73.981052","6.41","Midtown-Midtown South                                                      ","1010060013","Office","1578383","1076175","898743","Manual","70.2","186.5","WEST   53 STREET    ","141","4948.9","68.8","185.1","10019"
"No","Yes",,"1038758","MANHATTAN","90",,"6","4","95.1","In Compliance ","1","586305","40","6197.7","40.750213","-73.968846","15.02","Turtle Bay-East Midtown                                                    ","1013377502","Office","1582233","1038758","587000","Manual","146.4","297.7","   1 AVENUE         ","787","6292.8","Not Available","Not Available","10017"
"No","Yes",,"1038757","MANHATTAN","90",,"6","4","0","In Compliance ","1","600000","67","3929.2","40.75087","-73.97065","24.87","Turtle Bay-East Midtown                                                    ","1013370014","Office","1582252","1038757","565000","Manual","93.4","200.5","EAST   44 STREET    ","323","3929.2","90.3","197.1","10017"
"No","Yes",,"1035778","MANHATTAN","11202",,"5","4","0","In Compliance ","1","999646","60","14801.3","40.762146","-73.972479","12.44","Midtown-Midtown South                                                      ","1012920015","Office","1600063","1035778","1196354","Manual","90.5","218.8","MADISON AVENUE      ","590","14801.3","88.3","216.5","10022"
"Yes","Yes",,"1034212","MANHATTAN","96",,"5","4","26.5","In Compliance ","1","431000","87","2901","40.754514","-73.980145","12.49","Midtown-Midtown South                                                      ","1012597502","Financial Office","1603493","1034212","547349","Manual","68","180.5","   5 AVENUE         ","522","2927.5","66.7","179","10036"
"No","Yes",,,"MANHATTAN","104",,"5","4","288.8","In Compliance ","1","730175","75","5719","40.760632","-73.978269","18.24","Midtown-Midtown South                                                      ","1012687501","Office","1674432","1071418","837431","Manual","90.6","254.1","WEST   52 STREET    ","49","6007.7","89","251.9","10019"
"No","Yes",,"1023161","MANHATTAN","131",,"5","4","3775.7","In Compliance ","3","1482208","68","12066.1","40.761244","-73.979457","11.51","Midtown-Midtown South                                                      ","1010050029","Office","1677104","1023161","2043271","Manual","113.6","210","AVENUE OF THE AMER  ","1301","15841.8","113.3","209.4","10019"
"No","Yes",,"1087900","MANHATTAN","20701",,"9","7","435.5","In Compliance ","2","130228","100","0","40.810479","-73.95837","Not Available","Morningside Heights                                                        ","1019630060","Office","1697745","1087900","139392","None","57.1","59.8","AMSTERDAM AVENUE    ","1255","435.5","Not Available","Not Available","10027"
"Yes","Yes",,"1035734","MANHATTAN","102",,"5","4","0","In Compliance ","1","197948","78","1260.7","40.760035","-73.973415","8.18","Midtown-Midtown South                                                      ","1012890052","Office","1703401","1035734","246476","Manual","61.7","193.7","MADISON AVENUE      ","527","1260.7","59.6","187.1","10022"
"Yes","Yes",,"1013884","MANHATTAN","87",,"4","3","142.2","In Compliance ","1","115433","75","424.2","40.741986","-73.998271","18.55","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1007680050","Office","1712194","1013884","110032","Manual","70.8","171.5","WEST   19 STREET    ","220","566.3","68.9","169.5","10011"
"No","Yes",,,"QUEENS",,,,,"391.1","In Compliance ","1","274433","Not Available","1457.2",,,"15.27",,"4004350001","Office","1719778","4005157","275252","Manual","90.6","228.5","  44 ROAD           ","    24-01","1848.3","88.6","226.8","11101"
"No","Yes",,"1015805","MANHATTAN","76",,"5","4","229.3","In Compliance ","1","645977","80","5052.6","40.747648","-73.988278","Not Available","Midtown-Midtown South                                                      ","1008330011","Office","1720205","1015805","719481","None","100.4","208.6","BROADWAY            ","1240","5281.9","97.9","205.5","10001"
"No","Yes",,"1035474","MANHATTAN","102",,"5","4","146.9","In Compliance ","1","244668","76","1514.8","40.758825","-73.974877","Not Available","Midtown-Midtown South                                                      ","1012870052","Office","1846654","1035474","263067","None","83.2","207.9","MADISON AVENUE      ","485","1661.7","Not Available","Not Available","10022"
"No","Yes",,"1036926","MANHATTAN","11203",,"5","4","17.3","In Compliance ","1","534244","Not Available","Not Available","40.761275","-73.969938","Not Available","Turtle Bay-East Midtown                                                    ","1013127501","Multifamily Housing","1732083","1036926","521777","None",,"Not Available","EAST   57 STREET    ","117","Not Available","Not Available","Not Available","10022"
"No","Yes",,"1041900","MANHATTAN","11402",,"8","4","0","In Compliance ","1","220510","97","727.7","40.763117","-73.969641","18.8","Upper East Side-Carnegie Hill                                              ","1013940001","Office","1733452","1041900","226421","Manual","38.8","121.7","PARK AVENUE         ","505","727.7","38.9","122.3","10022"
"No","Yes",,"1040766","MANHATTAN","11401",,"8","4","83.3","In Compliance ","1","273481","72","1619.9","40.763336","-73.970789","16.48","Upper East Side-Carnegie Hill                                              ","1013747501","Office","1758568","1040766","295782","Manual","72.1","207.7","EAST   59 STREET    ","55","1703.2","72.1","208.1","10022"
"No","Yes",,"1076203","MANHATTAN","127",,"4","3","84","In Compliance ","1","1596521","74","11346.5","40.761758","-73.986503","Not Available","Clinton                                                                    ","1010400029","Office","1770367","1076203","1824886","None","79.8","210","   8 AVENUE         ","815","11430.6","78.2","208.1","10019"
"No","Yes",,"1020429","MANHATTAN","48",,"6","2","0","In Compliance ","1","327933","23","6348.7","40.734574","-73.983301","65.51","Gramercy                                                                   ","1009230001","Hospital (General Medical & Surgical)","1771506","1020429","338424","Manual","252.3","538.9","   2 AVENUE         ","302","6348.7","244.8","531","10003"
"No","Yes",,"1034855","MANHATTAN","104",,"5","4","0","In Compliance ","1","311501","47","2957.7","40.763308","-73.977922","19.52","Midtown-Midtown South                                                      ","1012710071","Office","1772081","1034855","320625","Manual","125.1","258.2","AVENUE OF THE AMER  ","1368","2957.7","121.9","254.3","10019"
"No","Yes",,"1035377","MANHATTAN","94",,"5","4","0","In Compliance ","1","380776","Not Available","2344.1","40.754462","-73.97808","11.13","Midtown-Midtown South                                                      ","1012790057","Office","1775992","1035337","298639","Manual","103.3","240","MADISON AVENUE      ","352","2344.1","100.3","236.4","10017"
"No","Yes",,,"QUEENS",,,,,"414.3","In Compliance ","1","155880","85","197.4",,,"Not Available",,"4050500004","Multifamily Housing","2640539","4114716","150870","None","67.5","103.8","  41 AVENUE         ","   144-20","611.7","66.9","102","11355"
"No","Yes",,"1046946","MANHATTAN","15002",,"8","4","19.2","In Compliance ","1","93924","37","984.8","40.782925","-73.959391","Not Available","Upper East Side-Carnegie Hill                                              ","1015000001","Office","1779652","1046946","125362","None","97.6","300.5","   5 AVENUE         ","1070","1004","97.6","300.5","10128"
"No","Yes",,"1001162","MANHATTAN","1502",,"1","1","35.8","In Compliance ","1","995083","85","4972.2","40.70727","-74.004314","Not Available","Battery Park City-Lower Manhattan                                          ","1000747501","Office","1796894","1001162","988890","None","65.1","166","WATER STREET        ","199","5008","63.6","164.2","10038"
"No","Yes",,"1024656","MANHATTAN","113",,"5","3","173","In Compliance ","1","1100000","67","7525.9","40.755802","-73.987136","27.35","Midtown-Midtown South                                                      ","1010130029","Office","1802295","1024656","957883","Manual","102.3","273.9","   7 AVENUE         ","592","7698.9","100.5","272.3","10036"
"No","Yes",,"1009723","MANHATTAN","37",,"2","3","618.8","In Compliance ","1","340618","91","1657.7","40.724658","-74.007753","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005780047","Office","1802367","1009723;1804012","332960","None","93","222.9","HUDSON STREET       ","250","2276.5","90.6","220.3","10013"
"Yes","Yes",,,"QUEENS",,,,,"178.3","In Compliance ","1","92705","Not Available","313.6",,,"18.72",,"4041250001","Adult Education","1819837","4854710","92705","Manual","77","166.1","  15 AVENUE         ","   139-10","491.9","74.1","163.3","11357"
"No","Yes",,"1001357","MANHATTAN","1501",,"1","1","42.1","In Compliance ","1","526781","Not Available","6006.2","40.711437","-74.006146","Not Available","Battery Park City-Lower Manhattan                                          ","1001020001","College/University","1819903","Not Available","628399","None","133.8","249.2","NASSAU STREET       ","154","6048.3","133.8","249.2","10038"
"Yes","Yes",,"1063347","MANHATTAN","247",,"12","7","0","In Compliance ","1","527604","Not Available","193.9","40.83933","-73.943416","Not Available","Washington Heights South                                                   ","1021360245","Parking","1832494","Not Available","145000","None","16.1","50.6","FT WASHINGTON AVENUE","115","193.9","15.6","48.9","10032"
"Yes","Yes",,"1010362","MANHATTAN","37",,"2","3","811","In Compliance ","1","374584","82","1521.4","40.726615","-74.007663","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005970012","Office","1839071","1010362","427972","None","70.6","162.9","VANDAM STREET       ","78","2332.4","65","157.3","10013"
"No","Yes",,"1072007","MANHATTAN","11401",,"8","4","0","In Compliance ","1","247260","69","1414.8","40.764613","-73.97024","Not Available","Upper East Side-Carnegie Hill                                              ","1013750049","Office","1843812","1072007","245320","None","69.5","218.4","MADISON AVENUE      ","667","1414.8","69.5","218.4","10065"
"No","Yes",,"1037165","MANHATTAN","11203",,"5","4","1507.7","In Compliance ","1","596734","42","3654.2","40.762013","-73.969584","Not Available","Turtle Bay-East Midtown                                                    ","1013130005","Office","1845411","1037165","538141","None","138.4","287.6","EAST   58 STREET    ","111","5161.9","138.4","287.6","10022"
"Yes","Yes",,"1016048","MANHATTAN","84",,"5","4","507.8","In Compliance ","1","115307","67","517.6","40.752453","-73.982452","21.23","Midtown-Midtown South                                                      ","1008410054","Office","1845637","1016048","121758","ABS","108.9","219.5","WEST   40 STREET    ","8","1025.4","99.9","208.2","10018"
"No","Yes",,"1001415","MANHATTAN","21",,"1","1","0","In Compliance ","1","550000","Not Available","3738.4","40.714387","-74.011493","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1001270018","Office","1845662","1001415","507000","None","92.6","255","GREENWICH STREET    ","253","3738.4","91.5","253.7","10007"
"No","Yes",,"1001269","MANHATTAN","1501",,"1","1","0","In Compliance ","1","177433","Not Available","1053","40.710059","-74.005955","Not Available","Battery Park City-Lower Manhattan                                          ","1000920005","College/University","1845677","1001269;1001270","187518","None","72.8","179.3","WILLIAM STREET      ","161","1053","69.2","175.5","10038"
"Yes","Yes",,"1007385","MANHATTAN","37",,"2","3","514.9","In Compliance ","1","182655","92","691.5","40.725136","-74.004438","6.79","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1004910046","Office","2430725","1007385","248550","ABS","61.6","133.7","AVENUE OF THE AMER  ","151","1206.4","58.9","130.3","10013"
"No","Yes",,"1059836","MANHATTAN","205",,"9","7","1187.1","In Compliance ","1","176878","65","647","40.810755","-73.961907","15.72","Morningside Heights                                                        ","1019920013","Residence Hall/Dormitory","1943396","1059836","380000","Manual","79.3","126.2","BROADWAY            ","3041","1834.1","Not Available","Not Available","10027"
"Yes","Yes",,,"QUEENS",,,,,"423.5","In Compliance ","2","266316","54","258",,,"Not Available",,"4019370001","Multifamily Housing","1944274","4047361","133158","None","83.2","136.2"," 100 STREET         ","    54-09","681.5","80.5","133.4","11368"
"No","Yes",,"1040855","MANHATTAN","11401",,"8","4","1241.5","In Compliance ","1","268467","49","1297.7","40.764308","-73.968796","Not Available","Upper East Side-Carnegie Hill                                              ","1013760036","Hotel","1946606","1946606","320000","None","121.9","230.2","PARK AVENUE         ","540","2539.2","115.4","223.3","10065"
"No","Yes",,"1036223","MANHATTAN","92",,"5","4","0","In Compliance ","1","1039281","51","10529.8","40.756456","-73.974495","Not Available","Turtle Bay-East Midtown                                                    ","1013030001","Financial Office","1954047","1036223","1278462","None","107.9","255.3","PARK AVENUE         ","299","10529.8","106.7","253.8","10017"
"No","Yes",,"1015191","MANHATTAN","101",,"5","3","220.2","In Compliance ","1","1213324","51","12329.5","40.749794","-73.991486","81.13","Midtown-Midtown South                                                      ","1008087501","Hotel","1958459","1015191","1412862","Manual","127.5","206.6","   7 AVENUE         ","401","12549.7","127.5","206.6","10001"
"No","Yes",,"1035780","MANHATTAN","11202",,"5","4","0","In Compliance ","1","296915","57","3131.6","40.761278","-73.971006","Not Available","Midtown-Midtown South                                                      ","1012920037","Office","1958942","1035780","324528","None","127.2","294.3","PARK AVENUE         ","444","3131.6","126.5","292.3","10022"
"No","Yes",,"1071457","MANHATTAN","100",,"5","4","70.5","In Compliance ","1","1526121","72","12439.4","40.759541","-73.972245","19","Turtle Bay-East Midtown                                                    ","1013087502","Office","1974028","1071457","1711084","Manual","93.5","242.9","PARK AVENUE         ","399","12509.9","Not Available","Not Available","10022"
"No","Yes",,"1085778","MANHATTAN","31704",,"1","1","1956.1","In Compliance ","1","508458","69","557.6","40.707047","-74.017439","Not Available","Battery Park City-Lower Manhattan                                          ","1000167517","Multifamily Housing","2008836","1087842","457771","None","95.1","130.6","BATTERY PLACE       ","70","2513.8","95.1","130.6","10280"
"No","Yes",,"1086547","MANHATTAN","31703",,"1","1","997.2","In Compliance ","1","278142","27","679.6","40.71622","-74.015075","35.96","Battery Park City-Lower Manhattan                                          ","1000160185","Multifamily Housing","2008956","1086547","300000","Manual","89.9","151.5","NORTH END AVENUE    ","211","1676.8","89.9","151.5","10282"
"No","Yes",,"1086174","MANHATTAN","31703",,"1","1","1475.3","In Compliance ","1","356786","8","981.5","40.716942","-74.016298","Not Available","Battery Park City-Lower Manhattan                                          ","1000160180","Multifamily Housing","2008963","1086174","364339","None","108.7","182","RIVER TERRACE       ","20","2456.7","107.9","181.2","10282"
"No","Yes",,"1085951","MANHATTAN","58",,"5","3","975.7","In Compliance ","1","296400","23","825","40.743619","-73.992274","54.25","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008260001","Multifamily Housing","2009074","1085951","284511","Manual","99.5","177.6","AVENUE OF THE AMER  ","736","1800.7","96.6","174.9","10010"
"No","Yes",,"1002108","MANHATTAN","39",,"1","1","804","In Compliance ","1","760000","Not Available","21289.4","40.72107","-74.012017","76","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1002160001","Office","2023135","1002813","764915","Manual","349.8","1068.1","WEST STREET         ","235","22093.4","349.8","1068.1","10013"
"No","Yes",,"5039660","STATEN ISLAND       ","27702",,"2","51","162.4","In Compliance ","1","190491","90","476.8","40.578694","-74.167979","Not Available","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","5024000375","Retail Store","2037421","5039660","188744","None","42.5","107.9","PLATINUM AVENUE     ","283","639.2","40.5","104.8","10314"
"No","Yes",,"3117881","BROOKLYN            ","792",,"14","40","351","In Compliance ","1","175875","72","542.9","40.646023","-73.955359","4.09","Erasmus                                                                    ","3051330014","Retail Store","2038302","3117881","187823","Manual","70","146.4","BEDFORD AVENUE      ","2360","893.9","65.2","141.8","11226"
"No","Yes",,"1035775","MANHATTAN","102",,"5","4","0","In Compliance ","1","369787","89","2257.3","40.761177","-73.973161","49.41","Midtown-Midtown South                                                      ","1012910051","Office","2043394","1035775","498531","Manual","59.6","138.6","MADISON AVENUE      ","555","2257.3","59","137.2","10022"
"No","Yes",,,"MANHATTAN","103",,"4","3","40.8","In Compliance ","1","1104505","36","14710.3","40.75448","-73.999206","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1010680001","Hospital (General Medical & Surgical)","2050632","1082718;1813279;1085140","861357","None","231.1","487.6","  10 AVENUE         ","424","14751.1","227.8","484.7","10001"
"No","Yes",,"1084028","MANHATTAN","19701",,"9","7","3823","In Compliance ","7","577649","97","7096.9","40.805219","-73.962213","Not Available","Morningside Heights                                                        ","1018660001","Hospital (General Medical & Surgical)","2051345","1056035;1084030;1084028;1084029;1084031;1084033;1084032","1134614","None","125.1","287.7","AMSTERDAM AVENUE    ","1091","10919.9","116.7","280.1","10025"
"No","Yes",,"1038670","MANHATTAN","88",,"6","4","0","In Compliance ","1","246215","Not Available","1684.4","40.750697","-73.970296","26.95","Turtle Bay-East Midtown                                                    ","1013360031","Office","2054784","1038670","208203","Manual","104.3","261.8","EAST   44 STREET    ","338","1684.4","Not Available","Not Available","10017"
"No","Yes",,"1000807","MANHATTAN","13",,"1","1","17.5","In Compliance ","1","309381","79","2242.6","40.706638","-74.012631","15.96","Battery Park City-Lower Manhattan                                          ","1000200016","Office","2214240","1000807","363378","Manual","79.3","208.5","BROADWAY            ","55","2260.1","77.8","206.8","10006"
"No","Yes",,"1028834","MANHATTAN","149",,"7","6","0","In Compliance ","1","360120","Not Available","3756.5","40.773266","-73.982215","15.28","Lincoln Square                                                             ","1011370010","College/University","2221781","1028834","365000","Manual","143","235.7","BROADWAY            ","1945","3756.5","140.3","231.6","10023"
"No","Yes",,"1001108","MANHATTAN","1502",,"1","1","99.2","In Compliance ","1","640000","51","7941","40.707899","-74.008473","Not Available","Battery Park City-Lower Manhattan                                          ","1000660001","Office","2233950","1001108","870210","None","125.1","262.7","LIBERTY STREET      ","19","8040.3","122.6","258.9","10005"
"No","Yes",,,"QUEENS",,,,,"403.7","In Compliance ","1","80282","87","86.7",,,"Not Available",,"4022250019","Multifamily Housing","2805515","4052427","88310","None","72.5","98.4"," 110 STREET         ","    71-36","490.3","67.3","93.3","11375"
"No","Yes",,"1003051","MANHATTAN","45",,"2","1","172.3","In Compliance ","1","129135","Not Available","2840.9","40.719281","-74.000014","15.71","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1002330026","Office","2238727","1003051","142254","Manual","72.7","180.6","HOWARD STREET       ","12","3013.2","71.6","179.8","10013"
"No","Yes",,"1036082","MANHATTAN","11202",,"5","4","0","In Compliance ","1","1824820","50","19018.3","40.763776","-73.973366","30.68","Midtown-Midtown South                                                      ","1012940001","Office","2331564","1036082","1864977","Manual","136.5","296.8","   5 AVENUE         ","761","19018.3","134.8","294.9","10022"
"No","Yes",,"1084386","MANHATTAN","251",,"12","10","137.9","In Compliance ","5","3690546","Not Available","20778.5","40.841402","-73.942568","46.36","Washington Heights South                                                   ","1021380040","Office","2263463","1084989;1810191;1809824;1803801;1084386;1084389","716678","Manual","398","806.8","FT WASHINGTON AVENUE","180","20916.4","388.3","797","10032"
"No","Yes",,"1001356","MANHATTAN","1501",,"1","1","0","In Compliance ","1","125840","Not Available","743.5","40.711835","-74.006558","Not Available","Battery Park City-Lower Manhattan                                          ","1001010002","College/University","2266206","Not Available","128572","None","75.4","181.6","PARK ROW            ","39","743.5","73.5","178.7","10038"
"No","Yes",,"3210431","BROOKLYN            ","746",,"18","45","277.1","In Compliance ","1","151720","100","849.4","40.617911","-73.943009","Not Available","Flatlands                                                                  ","3076680024","Hospital (General Medical & Surgical)","2267983","3210431","131151","None","117.9","287","KINGS HIGHWAY       ","3201","1126.5","116.1","285.1","11234"
"No","Yes",,"3055116","BROOKLYN            ","193",,"2","35","343.4","In Compliance ","1","158540","1","591.3","40.690205","-73.962268","12.96","Clinton Hill                                                               ","3019220001","K-12 School","2271551","3055116","109000","Manual","124.7","267.7","STEUBEN STREET      ","225","934.7","Not Available","Not Available","11205"
"No","Yes",,"3319502","BROOKLYN            ","197",,"2","35","191","In Compliance ","1","62000","30","157.5","40.68831","-73.966852","1.92","Clinton Hill                                                               ","3019210001","K-12 School","2271553","3055114","72000","Manual","76.3","135.2","WAVERLY AVENUE      ","333","348.4","Not Available","Not Available","11205"
"Yes","Yes",,"3055532","BROOKLYN            ","197",,"2","35","373.5","In Compliance ","1","120000","20","408.4","40.687703","-73.964645","1.84","Clinton Hill                                                               ","3019470001","K-12 School","2271554","3055532","136000","Manual","87.9","168","ST JAMES PLACE      ","65","781.9","Not Available","Not Available","11238"
"No","Yes",,"3054897","BROOKLYN            ","193",,"2","35","34.3","In Compliance ","1","287000","74","20.4","40.692179","-73.96306","1","Clinton Hill                                                               ","3019050120","Retail Store","2271555","3853174","15000","Manual","59.5","96.6","WILLOUGHBY AVENUE   ","215","54.7","Not Available","Not Available","11205"
"Yes","Yes",,"3055112","BROOKLYN            ","193",,"2","35","26.5","In Compliance ","3","291041","11","30.1","40.690247","-73.96433","2","Clinton Hill                                                               ","3019200001","K-12 School","2271558","3334961","10000","Manual","86.2","166.4","RYERSON STREET      ","255","56.6","Not Available","Not Available","11205"
